Список удостоверяющих центров, аккредитованных в Сети доверенных удостоверяющих центров Федеральной налоговой службы;;
ЗАО «Калуга-Астрал»;248023, г. Калуга, пер. Теренинский, д.6;http://www.astralnalog.ru/
ООО «Арго-Технолоджи» ;101000, Москва, Покровский бульвар, д.1/20;http://www.compusec.ru/
ОАО «Инфотекс Интернет Траст»;127287, Москва, Старый Петровско-Разумовский проезд, д. 1/23, стр.1;http://www.iitrust.ru/
ОАО «Сеть делового обслуживания»;170026, г. Тверь, Комсомольский проспект, д. 11, корп.1;http://www.sdo.ru/
ООО «Тверские КРИПТО-графические системы»;170000, г. Тверь, ул. Новоторжская д.3;http://www.tvercrypto.ru/
АНО «УНЦИБ ПФО» №1;424032, г. Йошкар-Ола, ул.Машиностроителей, д.8г, офис 310;http://uncib-ufa.ru/
АНО «УНЦИБ ПФО» №2;"420111, Республика Татарстан,  г. Казань, ул. Тельмана, д.18";
АНО «УНЦИБ ПФО» №3;424032, г. Йошкар-Ола, ул.Машиностроителей, д.8г, офис 310;http://uncib-ufa.ru/
ЗАО «ТаксНет»;"420021, Республика Татарстан, г. Казань, ул. Каюма Насыри, д. 28";http://www.taxnet.ru/
"ООО ""Славсервис-Связь""";302020, г. Орел, Наугорское шоссе, д. 5;http://www.slavservis.ru/
"ЗАО ""Национальный Удостоверяющий Центр""";111024, Москва, ул. Авиамоторная, д.8А, стр. 5 ;http://www.nucrf.ru/
ООО «Такском»;127051, Москва, ул. Садовая-Самотечная, д.12;http://www.taxcom.ru/
"ЗАО ""Орбита""";350063, г.Краснодар, ул. Комсомольская, 40;http://www.orbitacom.ru/
"ЗАО ""Московское отделение Пензенского научно-исследовательского электротехнического института"" (ЗАО ""МО ПНИЭИ"")";127018, Москва, ул.Сущевский Вал, д.16, стр. 5, 2 этаж;http://www.security.ru/
"ООО Удостоверяющий Центр ""АСКОМ""";355003, г. Ставрополь, ул. Ленина, 293, офис 3;http://www.ackom.net/
"Филиал ФГУП ""ГНИВЦ ФНС России"" в Сибирском федеральном округе";650040, г. Кемерово, Кузнецкий проспект, дом 70А;http://www.sfo.gnivc.ru/
"ТУСУР ""Удостоверяющий Центр Сибири""";634050, г. Томск, пр. Ленина, 40. ;http://www.udcs.ru/
"ООО ""Регистрационно-процессинговый центр ""Партнер"" ";410005, г. Саратов, ул. Б.Садовая, д. 239, 4-й этаж, оф. 422;http://parc.ru/
"ООО ""Центр бухгалтерских услуг"" ";353925, г. Новороссийск, пр-кт Дзержинского, 211;http://www.couriern.ru/
"ООО ""НовАГ-Сервис""";350000, г. Краснодар, ул. Северная, 324, литер «К», 8 этаж;http://www.tax23.ru/Pages/HowToConnect.aspx
"ООО ""ИнфоЦентр""";600005, г. Владимир, Октябрьский проспект, дом 36;http://www.icentr.ru/
"ООО Телекоммуникационная компания ""Контакт""";394000, г. Воронеж, ул. Пятницкого, 55;http://www.ktkt.ru/
"ООО ""Информационный медицинский центр"" ";443010, г. Самара, ул. Некрасовская, 56, литера Б;http://imctax.parus-s.ru/
"ООО ""Электронный город"" ";305000, г. Курск, ул.Можаевская, 2а;http://www.elkursk.ru/
"ООО ""ПНК""";454092, г. Челябинск, ул. Карла Либкнехта, 2-524;http://www.y-center.ru/
"ЗАО ""НТЦ СТЭК""";454080, г.Челябинск, ул. Энтузиастов, 12б, кабинет №6;http://www.alias.ru/
"АНО ""БЕЛИНФОНАЛОГ""";308007, Белгород, ул. Мичурина, д. 48б;http://www.belinfonalog.ru/index.html
"ООО ""Компания ""ТЕНЗОР""";150001 г. Ярославль, Московский проспект, 12;http://tensor.ru/
